REF_DATE;LOAN_ID;PARTNER_ID;COLL_ID;COLL_TYPE;PROCESSING;CURRENCY;REM_MTR;ORIG_MTR;END_DATE;PRODUCT;EXPOSURE;EAD;LGD;EL;RWA
29.9.2023;4990421522xvee84;hsmbc684qw1320;dcacf738qr3060idiclw;RRE;CE;BGN;9627;11142;6.2.2050;Mortgage loan;39565.05;39565.05;0;0;0
29.9.2023;6481915138jhbj98;hsmbc684qw1320;;UNS;OB;BGN;9627;11142;6.2.2050;Mortgage loan;0;0;0.4091777;0;0
29.9.2023;1766237137cgnd49;gniad724kj3054;;UNS;CE;BGN;274;365;29.6.2024;Overdraft;2.22;2.22;0.5058656;1.12;0.89
29.9.2023;6315670388pyog91;gniad724kj3054;;UNS;OB;BGN;274;365;29.6.2024;Overdraft;0;0;0.5058656;0;0.01
29.9.2023;9489883796fvjf85;rlfru266kj3960;;UNS;CE;BGN;79;365;17.12.2023;Overdraft;504.19;504.19;0.3041292;2.18;81.29
29.9.2023;5342842056zioi29;rlfru266kj3960;;UNS;OB;BGN;79;365;17.12.2023;Overdraft;-0.17;0;0.3041292;0;0
29.9.2023;1344155246rtyk38;rlfru266kj3960;;UNS;CE;BGN;701;2189;30.8.2025;Credit Cards;968.74;968.74;0.3041292;4.2;156.2
29.9.2023;6292226758nmqs85;rlfru266kj3960;;UNS;OB;BGN;701;2189;30.8.2025;Credit Cards;45.1;33.55;0.3041292;0.15;5.41
29.9.2023;5302260039fjly14;afmpc389kp7602;;UNS;CE;BGN;301;365;26.7.2024;Overdraft;-0.24;0;0.3041292;0;0.01
29.9.2023;8122615408hgwg42;afmpc389kp7602;;UNS;OB;BGN;301;365;26.7.2024;Overdraft;0;0;0.3041292;0;0
29.9.2023;5135941070jyhr31;cqavu136nh6016;;UNS;CE;BGN;1;2231;30.9.2023;Corporate loan;49.18;49.18;0.9328465;45.88;12.36
29.9.2023;5865751596mbav78;cqavu136nh6016;;UNS;OB;BGN;1;2231;30.9.2023;Corporate loan;0;0;0.9328465;0;0
29.9.2023;1698796088tmpi80;ijbtd193zv3635;;UNS;CE;BGN;13;365;12.10.2023;Overdraft;0.3;0.3;0.3041292;0;0.05
29.9.2023;4763821342xeau94;ijbtd193zv3635;;UNS;OB;BGN;13;365;12.10.2023;Overdraft;1019.9;455.98;0.3041292;2.07;76.23
29.9.2023;9541709850dnmy15;jdede581bp9102;;UNS;CE;BGN;517;2179;27.2.2025;Credit Cards;211.45;211.45;0.3041292;1.31;44.41
29.9.2023;7403412257vbzo33;jdede581bp9102;;UNS;OB;BGN;517;2179;27.2.2025;Credit Cards;29.68;17.81;0.3041292;0.11;3.74
29.9.2023;7769994587sdvn58;yjqpu959xy4042;;UNS;CE;BGN;16;365;15.10.2023;Overdraft;-0.25;0;0.3041292;0;0
29.9.2023;9037469807tatm17;yjqpu959xy4042;;UNS;OB;BGN;16;365;15.10.2023;Overdraft;502.58;227.51;0.3041292;0.21;10.95
29.9.2023;9503279942abin43;yjqpu959xy4042;;UNS;CE;BGN;638;2923;28.6.2025;Credit Cards;478.24;478.24;0.3041292;0.44;23.02
29.9.2023;1227564894ismn60;yjqpu959xy4042;;UNS;OB;BGN;638;2923;28.6.2025;Credit Cards;19.85;10.38;0.3041292;0.01;0.5
29.9.2023;4799470877ajaz45;yjqpu959xy4042;;UNS;CE;BGN;10649;12784;24.11.2052;Mortgage loan;23350.35;23350.35;0.4091777;28.9;5510.11
29.9.2023;4799470877ajaz45;yjqpu959xy4042;kvvka646dq9257ycklaj;RRE;CE;BGN;10649;12784;24.11.2052;Mortgage loan;30725.91;30725.91;0;0;0
29.9.2023;1851010864jcwg11;yjqpu959xy4042;;UNS;OB;BGN;10649;12784;24.11.2052;Mortgage loan;0;0;0.4091777;0;0
29.9.2023;2664333708cson83;qbqpg322dc2579;;UNS;CE;BGN;5762;9131;9.7.2039;Mortgage loan;5168.99;5168.99;0.2700966;6.6;1108.67
29.9.2023;2664333708cson83;qbqpg322dc2579;uxnfo612cc6541umkavj;RRE;CE;BGN;5762;9131;9.7.2039;Mortgage loan;16634.49;16634.49;0;0;0
29.9.2023;6284113664kujw88;qbqpg322dc2579;;UNS;OB;BGN;5762;9131;9.7.2039;Mortgage loan;0;0;0.2700966;0;0
29.9.2023;3040979111tero93;zyigw529fg4906;;UNS;CE;BGN;609;2207;30.5.2025;Credit Cards;197.98;197.98;0.3041292;0.59;23.94
29.9.2023;5621163299yyhn79;zyigw529fg4906;;UNS;OB;BGN;609;2207;30.5.2025;Credit Cards;42.54;23.64;0.3041292;0.07;2.86
29.9.2023;4750382308cgvh35;zyigw529fg4906;;UNS;CE;BGN;7528;9132;9.5.2044;Mortgage loan;9996.96;9996.96;0.2700966;26.29;3524.33
29.9.2023;4750382308cgvh35;zyigw529fg4906;tyngo600tg7577fwqbkw;RRE;CE;BGN;7528;9132;9.5.2044;Mortgage loan;18675.56;18675.56;0;0;0
29.9.2023;3175681952syyl95;zyigw529fg4906;;UNS;OB;BGN;7528;9132;9.5.2044;Mortgage loan;0;0;0.2700966;0;0
29.9.2023;5626329021rkyq12;vndzi538rn6579;;UNS;CE;BGN;170;365;17.3.2024;Overdraft;-0.22;0;0.3041292;0;0
29.9.2023;2156533618oaun13;vndzi538rn6579;;UNS;OB;BGN;170;365;17.3.2024;Overdraft;502.58;308.38;0.3041292;0.24;13.01
29.9.2023;6906310611mejo63;vndzi538rn6579;;UNS;CE;BGN;3545;5479;13.6.2033;Mortgage loan;6934.75;6934.75;0.2700966;4.81;958.72
29.9.2023;6906310611mejo63;vndzi538rn6579;tkdhf113jb7469jnungb;RRE;CE;BGN;3545;5479;13.6.2033;Mortgage loan;30368.33;30368.33;0;0;0
29.9.2023;3392178731vhro26;vndzi538rn6579;;UNS;OB;BGN;3545;5479;13.6.2033;Mortgage loan;0;0;0.2700966;0;0
29.9.2023;6243793429xqek85;pmoyw752me7956;;UNS;CE;BGN;353;365;16.9.2024;Overdraft;751.61;751.61;0.3041292;1.69;73.56
29.9.2023;8996940654lcnu42;pmoyw752me7956;;UNS;OB;BGN;353;365;16.9.2024;Overdraft;258.84;140.5;0.3041292;0.32;13.75
29.9.2023;2982234928qtug56;pmoyw752me7956;;UNS;CE;BGN;578;2196;29.4.2025;Credit Cards;794.55;794.55;0.3041292;1.79;77.76
29.9.2023;3976652861zxjh83;pmoyw752me7956;;UNS;OB;BGN;578;2196;29.4.2025;Credit Cards;213.45;89.09;0.3041292;0.2;8.72
29.9.2023;8496231613swna32;pmoyw752me7956;;UNS;CE;BGN;9337;10958;22.4.2049;Mortgage loan;18818.56;18818.56;0.4091777;57.01;8353.83
29.9.2023;8496231613swna32;pmoyw752me7956;dnydg723ka9352bpfzns;RRE;CE;BGN;9337;10958;22.4.2049;Mortgage loan;34406.73;34406.73;0;0;0
29.9.2023;4713433533krhg89;pmoyw752me7956;;UNS;OB;BGN;9337;10958;22.4.2049;Mortgage loan;0;0;0.4091777;0;0
29.9.2023;3616374236lxgx60;kgihx799qb5229;;UNS;CE;BGN;488;2897;29.1.2025;Credit Cards;0;0;0.3041292;0;0
29.9.2023;4870013540zphi89;kgihx799qb5229;;UNS;OB;BGN;488;2897;29.1.2025;Credit Cards;502.58;232.92;0.3041292;0.28;13.83
29.9.2023;9030716500nyvs68;kgihx799qb5229;;UNS;CE;BGN;8547;10957;22.2.2047;Mortgage loan;11912.83;11912.83;0.2700966;12.64;2240.51
29.9.2023;9030716500nyvs68;kgihx799qb5229;aswuw525xp9893ibaxnq;RRE;CE;BGN;8547;10957;22.2.2047;Mortgage loan;20487.43;20487.43;0;0;0
29.9.2023;2979398863gnna75;kgihx799qb5229;;UNS;OB;BGN;8547;10957;22.2.2047;Mortgage loan;0;0;0.2700966;0;0
29.9.2023;2473126118hazw29;bxopf226ic3025;;UNS;CE;BGN;112;365;19.1.2024;Overdraft;-0.23;0;0.3041292;0;0
29.9.2023;2552793298ltkx58;bxopf226ic3025;;UNS;OB;BGN;112;365;19.1.2024;Overdraft;502.58;227.51;0.3041292;0.53;22.81
29.9.2023;5459519509bnmg41;vsljt530ho2078;;UNS;CE;BGN;517;2198;27.2.2025;Credit Cards;39.1;39.1;0.3041292;0.43;12.26
29.9.2023;2060998524lyhn42;vsljt530ho2078;;UNS;OB;BGN;517;2198;27.2.2025;Credit Cards;201.42;94.28;0.3041292;1.03;29.56
29.9.2023;1825191234bila57;cbqyu838br8614;;UNS;CE;BGN;3238;3653;10.8.2032;Corporate loan;31.4;31.4;0.4571774;14.35;4
29.9.2023;9557681568ugwx37;cbqyu838br8614;;UNS;OB;BGN;3238;3653;10.8.2032;Corporate loan;0;0;0.4571774;0;0
29.9.2023;8915017107iwbt74;cbqyu838br8614;;UNS;CE;BGN;1;911;30.9.2023;Consumer loan;0;0;0.5510129;0;0
29.9.2023;8877541307ejsq56;cbqyu838br8614;;UNS;OB;BGN;1;911;30.9.2023;Consumer loan;0;0;0.5510129;0;0
29.9.2023;4132928105jkty70;dgigy314ge7307;;UNS;CE;BGN;174;365;21.3.2024;Overdraft;0;0;0.5705865;0;0
29.9.2023;4441522425gzmq89;dgigy314ge7307;;UNS;OB;BGN;174;365;21.3.2024;Overdraft;399.7;245.26;0.5705865;139.94;34.2
29.9.2023;6538491825zhff57;dgigy314ge7307;;UNS;CE;BGN;1;1773;30.9.2023;Corporate loan;224.4;224.4;0.5634062;126.43;31.27
29.9.2023;5425702746nurv13;dgigy314ge7307;;UNS;OB;BGN;1;1773;30.9.2023;Corporate loan;0;0;0.5634062;0;0
29.9.2023;8462618809rgiu93;dgigy314ge7307;;UNS;CE;BGN;3238;3653;10.8.2032;Corporate loan;31.4;31.4;0.5634062;17.69;4.92
29.9.2023;3633739007bpne25;dgigy314ge7307;;UNS;OB;BGN;3238;3653;10.8.2032;Corporate loan;0;0;0.5634062;0;0
29.9.2023;6881400861pkyn61;wbbaa366ih2444;;UNS;CE;BGN;701;2203;30.8.2025;Credit Cards;542.6;542.6;0.3041292;2.07;79.57
29.9.2023;7118700746khxp17;wbbaa366ih2444;;UNS;OB;BGN;701;2203;30.8.2025;Credit Cards;463.09;240.31;0.3041292;0.92;35.24
29.9.2023;8725978315qsin11;weqzq818bv5096;;UNS;CE;BGN;322;365;16.8.2024;Overdraft;150.71;150.71;0.3041292;0.23;10.87
29.9.2023;2628249777vauz37;weqzq818bv5096;;UNS;OB;BGN;322;365;16.8.2024;Overdraft;39.63;27.72;0.3041292;0.04;2
29.9.2023;2425941284cytt67;ixymq595lz9057;;UNS;CE;BGN;176;365;23.3.2024;Overdraft;-0.25;0;0.3041292;0;0
29.9.2023;8729473236udkq10;ixymq595lz9057;;UNS;OB;BGN;176;365;23.3.2024;Overdraft;195.27;119.81;0.3041292;0.17;8.31
29.9.2023;1940609110kpcx19;vimed746sz3698;;UNS;CE;BGN;47;365;15.11.2023;Overdraft;267.97;267.97;0.3813418;102.19;25.32
29.9.2023;8295344576xdla36;vimed746sz3698;;UNS;OB;BGN;47;365;15.11.2023;Overdraft;0;0;0.3813418;0;0.44
29.9.2023;1289338850dmfi77;vimed746sz3698;;UNS;CE;BGN;1;1936;30.9.2023;Corporate loan;246.58;246.58;0.3294077;81.23;20.17
29.9.2023;9490776407ekll86;vimed746sz3698;;UNS;OB;BGN;1;1936;30.9.2023;Corporate loan;0;0;0.3294077;0;0
29.9.2023;4711972585ejaj66;ezipq725pj4427;;UNS;CE;BGN;34;365;2.11.2023;Overdraft;0;0;0.3041292;0;0
29.9.2023;4788220907ykru84;ezipq725pj4427;;UNS;OB;BGN;34;365;2.11.2023;Overdraft;195.27;88.39;0.3041292;0.2;8.6
29.9.2023;4028281863lrje48;alfav500jf5439;;UNS;CE;BGN;2015;2457;5.4.2029;Corporate loan;35.31;35.31;0.8121587;28.68;7.94
29.9.2023;5857849678tfsf97;alfav500jf5439;;UNS;OB;BGN;2015;2457;5.4.2029;Corporate loan;0;0;0.8121587;0;0
29.9.2023;5441809282kqoz69;alfav500jf5439;;UNS;CE;BGN;2015;2456;5.4.2029;Corporate loan;35.31;35.31;0.8121587;28.68;7.94
29.9.2023;7854277109uryx45;alfav500jf5439;;UNS;OB;BGN;2015;2456;5.4.2029;Corporate loan;0;0;0.8121587;0;0
29.9.2023;9320910380zkka49;alfav500jf5439;;UNS;CE;BGN;2015;2456;5.4.2029;Corporate loan;35.31;35.31;0.8121587;28.68;7.94
29.9.2023;5817888628kbgc88;alfav500jf5439;;UNS;OB;BGN;2015;2456;5.4.2029;Corporate loan;0;0;0.8121587;0;0
29.9.2023;4910178296rqyw49;xijob644yt3566;;UNS;CE;BGN;1;613;30.9.2023;Corporate loan;4.84;4.84;0.4571774;2.21;0.82
29.9.2023;7812170023gmuw27;xijob644yt3566;;UNS;OB;BGN;1;613;30.9.2023;Corporate loan;0;0;0.4571774;0;0
29.9.2023;8946885573zdob77;vzplc666yk7698;;UNS;CE;BGN;6244;7305;2.11.2040;Mortgage loan;5600.6;5600.6;0.2700966;80.48;5452.79
29.9.2023;8946885573zdob77;vzplc666yk7698;idntb462db1244kbmqzw;RRE;CE;BGN;6244;7305;2.11.2040;Mortgage loan;12962.1;12962.1;0;0;0
29.9.2023;9605457452qlps39;vzplc666yk7698;;UNS;OB;BGN;6244;7305;2.11.2040;Mortgage loan;0;0;0.2700966;0;0
29.9.2023;8067470401nkmj71;psfnz800pp2719;;UNS;CE;BGN;4241;5537;10.5.2035;Mortgage loan;0;0;0.2700966;0;0
29.9.2023;8067470401nkmj71;psfnz800pp2719;ebgbx102ua3323svxrah;RRE;CE;BGN;4241;5537;10.5.2035;Mortgage loan;12756.62;12756.62;0;0;0
29.9.2023;3534184843ksdw66;psfnz800pp2719;;UNS;OB;BGN;4241;5537;10.5.2035;Mortgage loan;0;0;0.2700966;0;0
29.9.2023;6334144062gacg17;noszx829cz5802;;UNS;CE;BGN;61;365;29.11.2023;Overdraft;0;0;0.3041292;0;0
29.9.2023;3855295597ncrw16;noszx829cz5802;;UNS;OB;BGN;61;365;29.11.2023;Overdraft;1019.9;455.98;0.3041292;0.36;19.43
29.9.2023;8467637201dcfl53;mkewk413co1127;;UNS;CE;BGN;202;365;18.4.2024;Overdraft;124.11;124.11;0.3041292;0.19;8.81
29.9.2023;7849732253yfkn69;mkewk413co1127;;UNS;OB;BGN;202;365;18.4.2024;Overdraft;216.33;137.7;0.3041292;0.21;9.78
29.9.2023;5325254472trlr54;tzejo987ml5209;;UNS;CE;BGN;290;365;15.7.2024;Overdraft;976.47;976.47;0.3041292;3.7;142.42
29.9.2023;8662030737qzqc54;tzejo987ml5209;;UNS;OB;BGN;290;365;15.7.2024;Overdraft;41.96;32.5;0.3041292;0.12;4.74
29.9.2023;3440745555oiyz17;tzejo987ml5209;;UNS;CE;BGN;8689;9131;14.7.2047;Mortgage loan;9320.08;9320.08;0.2700966;31.37;3865.18
29.9.2023;3440745555oiyz17;tzejo987ml5209;itdqr256wi3020lfztlu;RRE;CE;BGN;8689;9131;14.7.2047;Mortgage loan;15690.68;15690.68;0;0;0
29.9.2023;5744985137qkig49;tzejo987ml5209;;UNS;OB;BGN;8689;9131;14.7.2047;Mortgage loan;0;0;0.2700966;0;0
29.9.2023;6334069628zwwk69;iljyn790dh9796;;UNS;CE;BGN;206;365;22.4.2024;Overdraft;0;0;0.3041292;0;0
29.9.2023;8157258211jrov97;iljyn790dh9796;;UNS;OB;BGN;206;365;22.4.2024;Overdraft;69.55;43.39;0.3041292;0.05;2.38
29.9.2023;3122434187nbdr80;iljyn790dh9796;;UNS;CE;BGN;3490;5114;19.4.2033;Mortgage loan;2369.12;2369.12;0.2700966;2.28;414.95
29.9.2023;3122434187nbdr80;iljyn790dh9796;onwti235jo6884izijnc;RRE;CE;BGN;3490;5114;19.4.2033;Mortgage loan;12554.2;12554.2;0;0;0
29.9.2023;2191756463jchl73;iljyn790dh9796;;UNS;OB;BGN;3490;5114;19.4.2033;Mortgage loan;0;0;0.2700966;0;0
29.9.2023;9208737692saqq52;jqnkh741bl7119;;UNS;CE;BGN;70;365;8.12.2023;Overdraft;426.23;426.23;0.8915353;380;92.53
29.9.2023;2781833432ryha12;jqnkh741bl7119;;UNS;OB;BGN;70;365;8.12.2023;Overdraft;71.32;35;0.8915353;31.2;8.19
29.9.2023;8491748128ukuq42;cxgqp415gu3317;;UNS;CE;BGN;337;365;31.8.2024;Overdraft;-0.25;0;0.3041292;0;0
29.9.2023;7325057888ghio31;cxgqp415gu3317;;UNS;OB;BGN;337;365;31.8.2024;Overdraft;144.65;88.02;0.3041292;0.15;6.75
29.9.2023;9995702793wknb53;mzkat745gc2314;;UNS;CE;BGN;113;365;20.1.2024;Overdraft;0;0;0.3041292;0;0
29.9.2023;5231466699yyoi23;mzkat745gc2314;;UNS;OB;BGN;113;365;20.1.2024;Overdraft;195.27;88.39;0.3041292;0.84;25.1
29.9.2023;8877592816ltuk89;vnjmy386bv3638;;UNS;CE;BGN;701;2209;30.8.2025;Credit Cards;0;0;0.3041292;0;0
29.9.2023;9679090948xsnm79;vnjmy386bv3638;;UNS;OB;BGN;701;2209;30.8.2025;Credit Cards;1019.9;647.26;0.3041292;0.46;25.46
29.9.2023;3075331185vrgx71;obexm463ol5966;;UNS;CE;BGN;251;365;6.6.2024;Overdraft;0;0;0.3041292;0;0
29.9.2023;4198009726wdan69;obexm463ol5966;;UNS;OB;BGN;251;365;6.6.2024;Overdraft;1019.9;620.11;0.3041292;2.03;81.06
29.9.2023;9255359938aehw44;aduqj589kh8614;;UNS;CE;BGN;5903;7305;27.11.2039;Mortgage loan;3872.87;3872.87;0.2700966;12.01;1522.56
29.9.2023;9255359938aehw44;aduqj589kh8614;kqhje828yk2181dqkwiq;RRE;CE;BGN;5903;7305;27.11.2039;Mortgage loan;9368.87;9368.87;0;0;0
29.9.2023;5283309860zfki99;aduqj589kh8614;;UNS;OB;BGN;5903;7305;27.11.2039;Mortgage loan;0;0;0.2700966;0;0
29.9.2023;3002951485wgtb24;yrxxb931su4756;;UNS;CE;BGN;268;365;23.6.2024;Overdraft;0;0;0.3041292;0;0
29.9.2023;1578342822cytx45;yrxxb931su4756;;UNS;OB;BGN;268;365;23.6.2024;Overdraft;94.42;57.46;0.3041292;0.09;4.33
29.9.2023;9561537621xkpo90;yjqiz585dq5162;;UNS;CE;BGN;158;365;5.3.2024;Overdraft;-0.25;0;0.3041292;0;0
29.9.2023;6110856318trqv11;yjqiz585dq5162;;UNS;OB;BGN;158;365;5.3.2024;Overdraft;297.2;134.54;0.3041292;0.25;11.41
29.9.2023;9124911447wgbj72;ykodr650el5420;;UNS;CE;BGN;517;2198;27.2.2025;Credit Cards;234.34;234.34;0.3041292;2.76;77.39
29.9.2023;3235251108kxpk84;ykodr650el5420;;UNS;OB;BGN;517;2198;27.2.2025;Credit Cards;8.67;7.83;0.3041292;0.09;2.59
29.9.2023;7177973482binn95;gqqpy253ck3612;;UNS;CE;BGN;1;627;30.9.2023;Corporate loan;502.58;502.58;0.3294077;165.55;40.26
29.9.2023;5475019650obqe21;gqqpy253ck3612;;UNS;OB;BGN;1;627;30.9.2023;Corporate loan;0;0;0.3294077;0;0
29.9.2023;5135833006rjon30;gqqpy253ck3612;;UNS;CE;BGN;3455;3653;15.3.2033;Corporate loan;66.59;66.59;0.3294077;21.94;5.8
29.9.2023;6081639515yykz64;gqqpy253ck3612;;UNS;OB;BGN;3455;3653;15.3.2033;Corporate loan;0;0;0.3294077;0;0
29.9.2023;7411572516yfii58;xifny835cb2606;;UNS;CE;BGN;517;2180;27.2.2025;Credit Cards;97.2;97.2;0.3041292;16.57;87.57
29.9.2023;1008571478ityj11;xifny835cb2606;;UNS;OB;BGN;517;2180;27.2.2025;Credit Cards;141.91;67.91;0.3041292;11.58;61.18
29.9.2023;9758979887rbqo81;juxnp887dt9542;;UNS;CE;BGN;322;365;16.8.2024;Overdraft;0;0;0.3041292;0;0
29.9.2023;9059867895xvum55;juxnp887dt9542;;UNS;OB;BGN;322;365;16.8.2024;Overdraft;195.27;121.82;0.3041292;1.11;33.67
29.9.2023;3758318604laux44;harej258sc5456;;UNS;CE;BGN;353;365;16.9.2024;Overdraft;-0.17;0;0.3041292;0;0
29.9.2023;1249012967qbjp10;harej258sc5456;;UNS;OB;BGN;353;365;16.9.2024;Overdraft;195.27;118.82;0.3041292;0.52;19.41
29.9.2023;4197387687unfe99;harej258sc5456;;UNS;CE;BGN;10578;10958;14.9.2052;Mortgage loan;16228.45;16228.45;0.4091777;96.24;11238.32
29.9.2023;4197387687unfe99;harej258sc5456;jxlyh521jj3391hltaju;RRE;CE;BGN;10578;10958;14.9.2052;Mortgage loan;34097.64;34097.64;0;0;0
29.9.2023;7496836290lshx98;harej258sc5456;;UNS;OB;BGN;10578;10958;14.9.2052;Mortgage loan;0;0;0.4091777;0;0
29.9.2023;9565710958ngkk71;dzvmq681qd9409;;UNS;CE;BGN;1;1541;30.9.2023;Corporate loan;246.14;246.14;0.9328465;229.61;56.88
